Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
Cambio,https://www.crunchbase.com/organization/cambio-0fb5,2026-01-22,Series A,101-250,"New York, New York, United States",Cambio is an AI-native commercial real estate operations platform that transforms raw building data into actionable insights.,18000000,USD,18000000,"Google for Startups, Maverick Ventures, Y Combinator",https://www.cambio.ai
Corgi Insurance,https://www.crunchbase.com/organization/corgi-80d7,2026-01-08,Series A,51-100,"San Francisco, California, United States",Corgi is the first AI Insurance and Financial Infrastructure Company.,108000000,USD,108000000,"Alumni Ventures, Y Combinator",https://www.corgi.insure
webAI,https://www.crunchbase.com/organization/webai,2026-01-13,Series A,51-100,"Austin, Texas, United States",The leader in private AI.,,,,Forerunner,https://www.webai.com
Upscale AI,https://www.crunchbase.com/organization/upscale-ai,2026-01-21,Series A,51-100,"Santa Clara, California, United States",Upscale AI redefines networking with purpose-built solutions for high-performance compute.,200000000,USD,200000000,"Maverick Silicon, Mayfield Fund, Premji Invest, Tiger Global Management, Xora Innovation",https://upscaleai.com
Statusphere,https://www.crunchbase.com/organization/statusphere,2026-01-20,Series A,51-100,"Orlando, Florida, United States",Statusphere is an influencer marketing platform.,18000000,USD,18000000,"LAUNCH, Volition Capital",http://joinstatus.com/
Cloudforce,https://www.crunchbase.com/organization/cloudforce-2a87,2026-01-09,Series A,101-250,"National, Maryland, United States","Cloudforce designs cloud and AI solutions supporting organizations in building, migrating, and maintaining systems on the Microsoft Cloud.",10000000,USD,10000000,Owl Ventures,https://www.gocloudforce.com
Salvo Health,https://www.crunchbase.com/organization/salvo-health,2026-01-22,Series A,51-100,"New York, New York, United States","Salvo Health enables community GI providers to leap into a #HybridCare future, for healthier patients, happier doctors, and better economics",8500000,USD,8500000,"City Light Capital, Human Ventures, ManchesterStory Group, Threshold",https://www.salvohealth.com/
TitanX,https://www.crunchbase.com/organization/titanx-7854,2026-01-20,Series A,51-100,"Knoxville, Tennessee, United States","TitanX uses Phone Intent scoring to predict which prospects will answer calls, enabling reps to prioritize outreach, and enrich contacts.",27000000,USD,27000000,Updata Partners,https://www.titanx.io
Science&Humans,https://www.crunchbase.com/organization/onmen-canada,2026-01-15,Series A,51-100,"Mississauga, Ontario, Canada","Modern hormone treatments, backed by Science, from diagnosis to delivery of your medications, all from the comfort of your home",7000000,CAD,5036598,"BDC Venture Capital, CIBC Innovation Banking, Pender Ventures",https://www.scienceandhumans.com/
illuno,https://www.crunchbase.com/organization/illuno-inc,2026-01-01,Series A,251-500,"Dallas, Texas, United States",illuno is a marketplace connecting Police officers and their communities for off-duty jobs.,5000000,USD,5000000,,https://www.illuno.com/
Jetson,https://www.crunchbase.com/organization/jetson-51e1,2026-01-20,Series A,51-100,"North Vancouver, British Columbia, Canada","Jetson Home focused on residential electrification, replacing gas furnaces with all-electric heat pump systems like Jetson Air product.",50000000,USD,50000000,Eclipse Ventures,https://jetsonhome.com/us
