Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
Higgsfield,https://www.crunchbase.com/organization/higgsfield,2026-01-15,Series A,11-50,"San Francisco, California, United States",Higgsfield is a video AI firm committed to democratizing social media content creation for everyone.,80000000,USD,80000000,"GFT Ventures, Menlo Ventures",https://higgsfield.ai
Artie,https://www.crunchbase.com/organization/artie-a438,2026-01-22,Series A,11-50,"San Francisco, California, United States",Artie is a technology platform that provides real-time data replication and streaming services to synchronize data across systems.,12000000,USD,12000000,"Pathlight Ventures, Standard Capital, Y Combinator",https://www.artie.com
Neurophos,https://www.crunchbase.com/organization/neurophos,2026-01-22,Series A,11-50,"Austin, Texas, United States",Neurophos develops photonic AI processing technology that focuses on hardware solutions for accelerating artificial intelligence inference.,110000000,USD,110000000,"Gates Frontier Fund, MetaVC Partners",https://www.neurophos.com
LMArena,https://www.crunchbase.com/organization/lmarena,2026-01-06,Series A,11-50,"San Francisco, California, United States","LMArena is a web-based platform that evaluates large language models (LLMs) through anonymous, crowd-sourced pairwise comparisons.",150000000,USD,150000000,"Andreessen Horowitz, Felicis, UC Investments",https://lmarena.ai
Concourse,https://www.crunchbase.com/organization/concourse-e69f,2026-01-27,Series A,11-50,"New York, New York, United States","Concourse is an AI agent platform that helps corporate finance teams by automating financial analysis, reporting, and data workflows.",12000000,USD,12000000,"Andreessen Horowitz, CRV, Standard Capital, Y Combinator",https://concourse.co
Ricursive Intelligence,https://www.crunchbase.com/organization/ricursive-intelligence,2026-01-26,Series A,1-10,"Palo Alto, California, United States",Ricursive Intelligence uses AI and computing to shorten semiconductor timelines through recursive cycles designing silicon for AI.,300000000,USD,300000000,"Lightspeed Venture Partners, Sequoia Capital",https://www.ricursive.com
Corsera Health,https://www.crunchbase.com/organization/corsera-health,2026-01-07,Series A,11-50,"Boston, Massachusetts, United States",Corsera Health develops preventive RNA interference medicines that reduces cardiovascular disease risk before long-term damage occurs.,80000000,USD,80000000,"Forbion Capital Partners, Population Health Partners",https://corserahealth.com
Project Eleven,https://www.crunchbase.com/organization/project-11,2026-01-14,Series A,1-10,"New York, New York, United States",Project Eleven is a development company dedicated to advancing post-quantum cryptography solutions.,20000000,USD,20000000,"Castle Island Ventures, Quantonation, Variant",https://www.projecteleven.com
Grid Aero,https://www.crunchbase.com/organization/grid-aero,2026-01-26,Series A,11-50,"Palo Alto, California, United States","Grid Aero builds autonomous aircraft for long-range operations, supporting distributed logistics across defense and commercial sectors.",20000000,USD,20000000,"Bison Ventures, Calibrate Ventures, Geodesic Capital, Ubiquity Ventures",https://www.grid.aero
Standard Nuclear,https://www.crunchbase.com/organization/standard-nuclear,2026-01-26,Series A,11-50,"Oak Ridge, Tennessee, United States",Standard Nuclear manufactures advanced nuclear fuel for next-generation reactors and high-temperature applications.,140000000,USD,140000000,Decisive Point,https://www.standardnuclear.com
Zarminali Health,https://www.crunchbase.com/organization/zarminali-health,2026-01-21,Series A,11-50,"Chicago, Illinois, United States",Zarminali Health provides pediatric healthcare services and support to streamline how children receive care from primary specialists.,110000000,USD,110000000,"General Catalyst, Healthier Capital",https://zarminali.com
SkyFi®,https://www.crunchbase.com/organization/skyfi-87a0,2026-01-14,Series A,11-50,"Austin, Texas, United States",SkyFi® is an earth intelligence platform that provides satellite imagery and analytics to help interpret and analyze planetary data.,12700000,USD,12700000,"Balerion Space Ventures, Buoyant Ventures, EnergyLab, IronGate Capital Advisors",https://www.skyfi.com
Fleetzero,https://www.crunchbase.com/organization/fleetzero,2026-01-16,Series A,11-50,"Auburn, Alabama, United States",Fleetzero is building battery electric cargo ships to affordably decarbonize ocean freight.,43000000,USD,43000000,"Breakthrough Energy Ventures, Obvious Ventures",https://www.shipfleetzero.com
