Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website,organizationId
OneDosh,https://www.crunchbase.com/organization/onedosh,2026-01-21,Pre-Seed,11-50,"New York, New York, United States",OneDosh lets users send and receive payments globally by providing a multi-wallet system that supports fiat and stablecoin,3000000,USD,3000000,Mb Sa,https://onedosh.com,6048db4e91b42c000134e303
RouteSense,https://www.crunchbase.com/organization/routesense,2026-01-15,Pre-Seed,1-10,"Salt Lake City, Utah, United States","RouteSense provides real-time MID health monitoring and intelligent transaction routing for merchants, PSPs, ISOs and acquirers.",2000000,USD,2000000,Redbud VC,https://routesense.ai,6967749562cd7e001182a6cb
Playad.ai,https://www.crunchbase.com/organization/gigr,2026-01-22,Pre-Seed,1-10,"South San Francisco, Pennsylvania, United States",Playad.ai develops an AI-native marketing platform for multi-agent ad workflows and interactive ad creatives.,5400000,USD,5400000,"BRV Capital Management, Mirae Asset Venture Investment",https://playad.ai,68faf688be422a000119d82e
,,,,,,,,,,,https://riskfront.ai/,
,,,,,,,,,,,https://www.saptiva.com,
Overworld,https://www.crunchbase.com/organization/overworld-5c51,2026-01-20,Pre-Seed,11-50,"Providence, Rhode Island, United States","Overworld is a research and development studio that creates real-time, local-first diffusion world models.",4500000,USD,4500000,Kindred Ventures,https://over.world/,63e1fc6bfed19500a48a64c3
,,,,,,,,,,,https://www.nucleus4d.com/,
,,,,,,,,,,,https://www.corvera.ai,
,,,,,,,,,,,https://www.heybreez.ai/,
,,,,,,,,,,,https://www.asymmetricsecurity.com/,
,,,,,,,,,,,https://www.undercontrac.com/,
,,,,,,,,,,,https://www.osto.one,
,,,,,,,,,,,https://www.returnsignals.com,
Aegis Vitals,https://www.crunchbase.com/organization/aegis-vitals,2026-01-15,Pre-Seed,1-10,"San Francisco, California, United States",Aegis Vitals is a healthcare tech company that offers AI-driven early-warning health intelligence that detects risk before symptoms appear.,25000,USD,25000,,https://aegisvitals.ai/,691d47a1f0567f000172873d
,,,,,,,,,,,https://www.globalkeysolutions.net,
,,,,,,,,,,,https://www.factagora.com,
,,,,,,,,,,,https://www.irreversible.tech/,
,,,,,,,,,,,https://morphsys.ai/,
DRNKR,https://www.crunchbase.com/organization/drnkr,2026-01-23,Pre-Seed,11-50,"The Villages, Florida, United States",DRNKR offers an app for beverage lovers to discover and taste craft beverages.,7500,USD,7500,,https://www.drnkr.com/,
,,,,,,,,,,,https://www.promptshop.co/,
Sable Beauty,https://www.crunchbase.com/organization/sable-beauty,2026-01-15,Pre-Seed,,"New York, New York, United States","Sable Beauty is an online boutique specializing in curated indie and natural beauty and skincare brands, emphasizing clean.",0,,0,"SOSV, Turret Capital Management",https://www.sablebeauty.com,664186572ebc790001c24171
GyftPro,https://www.crunchbase.com/organization/gyftpro,2026-01-20,Pre-Seed,1-10,"Phoenix, Arizona, United States","GyftPro was designed to make gifting seem effortless, meaningful, and truly personal.",0,,0,,https://www.gyftpro.com,641f108e6fa75900017ea3ee
RABB Holdings,https://www.crunchbase.com/organization/rabb-holdings,2026-01-23,Pre-Seed,1-10,"Wyoming, Michigan, United States","Real Estate, Services and Management Consulting",0,,0,,,
Evonova Group,https://www.crunchbase.com/organization/evonova-group,2026-02-05,Pre-Seed,1-10,"New York, New York, United States","Evonova Group builds retail applications using AI, robotics, and physical infrastructure for café operations.",25000,USD,25000,,https://www.evonovagroup.com/,68bd574ace0fcd001120c86b
,,,,,,,,,,,https://usewisecost.com/,
AP Transit - NYC Subway Map,https://www.crunchbase.com/organization/ap-transit-nyc-subway-map,2026-01-26,Pre-Seed,1-10,"New York, New York, United States","AP Transit NYC Subway Map shows real-time subway locations, schedules, and station access to help riders navigate the system.",0,,0,,https://aptransit.co,67b40a73f93ef20001ff26fa
,,,,,,,,,,,https://www.trytaketwo.com/,
,,,,,,,,,,,https://leracom.ai/,
